NOMBREDI,Victimizacion_total_%,Inseguridad_general_%,Indice_confianza_PNP_%
ANCON,15.284010869476012,59.71699833390074,12.64367196572455
ATE,43.81566017733703,83.20028589366426,16.55873727901487
BARRANCO,25.856613945497497,66.2697250409299,7.333439759031611
BRENA,40.17052239798813,70.84465347386787,24.84202463598703
CARABAYLLO,27.12821037575748,74.90160050649096,13.303678801051412
CHACLACAYO,27.415506433828305,56.069755169743885,24.49794618047622
CHORRILLOS,33.14369258188633,83.0594018621898,18.04106592093246
CIENEGUILLA,37.62270704374914,82.89712021772743,32.37265928273855
COMAS,27.409468133590813,73.84071385596012,19.99790699123697
EL AGUSTINO,46.66287788188562,78.61652729752213,29.869611359940038
INDEPENDENCIA,33.59874023481633,83.93428739858835,16.18560996774546
JESUS MARIA,30.62567327590485,51.64446402894383,31.417856683991403
LA MOLINA,43.03543501738783,46.96962280299743,17.234897456084493
LA VICTORIA,41.75083318738086,65.44082062371618,18.845048900709763
LIMA,41.79980848933223,76.72709722928248,24.61935397430271
LINCE,23.1120683350154,86.26768205117419,16.576025086370944
LOS OLIVOS,34.62244192801295,75.37402688827287,21.442667463355303
LURIGANCHO,32.38133852303061,75.01280711400416,20.101284307112984
LURIN,43.85261227230996,79.13023936809141,12.75398010141602
MAGDALENA DEL MAR,35.34353669939905,18.737830419004776,45.81402009085558
MIRAFLORES,20.263117194176555,29.76611219605908,28.771631443419377
PACHACAMAC,40.69119685902988,90.17137554112654,16.149568561789877
PUCUSANA,26.78678381101435,64.94498045218458,21.20122028403128
PUEBLO LIBRE,24.88401446116292,78.18779274651789,22.91931497049366
PUENTE PIEDRA,33.95942044513,80.5999023716491,32.02335806631865
PUNTA HERMOSA,36.55196575528945,47.45134943143579,32.910065614806264
RIMAC,32.51503145900882,77.59194238574574,28.23030374417978
SAN BARTOLO,7.196847275752908,0.0,41.95727570188054
SAN BORJA,26.97579968775476,19.080123180981325,39.28383456558346
SAN ISIDRO,37.60727629805758,47.47648937771712,52.46104267947903
SAN JUAN DE LURIGANCHO,37.1483003489987,75.36251943047276,14.853001133656743
SAN JUAN DE MIRAFLORES,37.403232131046,88.46221498270272,8.645294205505474
SAN LUIS,46.183661212802285,65.53189828925103,5.453703062913768
SAN MARTIN DE PORRES,25.14497829492545,73.85191696614724,13.704090533172062
SAN MIGUEL,16.603009851062254,66.15466288360055,40.09659185195123
SANTA ANITA,34.40604540329324,66.81107445462821,22.381529567423115
SANTA ROSA,12.8413955082442,85.5504347468982,22.898541903610344
SANTIAGO DE SURCO,30.33117573728721,53.71388032604162,32.63358593407154
SURQUILLO,35.02742946428816,72.13373221734214,37.77057885968905
VILLA EL SALVADOR,34.11247160963528,85.62305855806376,11.21841758857109
VILLA MARIA DEL TRIUNFO,31.49574225384556,85.79149137732513,7.886492607912604
